group_1	group_2	group_3	group_4	group_5	group_6	group_7	group_8	group_9	group_10
1_1_2_2_3_4	1_2_2_3_3_2	1_1_2_2_3_2	1_1_2_2_1_4	1_1_1_1_2_4	1_2_1_2_2_2	1_1_1_1_3_6	1_1_1_1_1_1	1_1_1_1_3_4	1_1_1_1_2_3
1_1_2_1_2_3	1_2_2_3_5_1	1_2_1_2_1_2	1_2_2_2_3_2	1_2_2_1_3_2	1_1_2_2_1_1	1_1_2_1_4_2	1_1_1_1_3_3	1_1_1_1_4_4	1_1_2_2_1_6
1_2_2_3_1_3	1_2_2_1_3_4	1_2_2_2_1_4	1_2_2_2_3_1	1_1_2_1_3_7	1_2_2_3_5_4	1_1_2_2_4	1_2_2_1_1_1	1_2_2_2_1_3	1_1_2_1_1_3
1_2_2_1_3_3	1_2_2_2_2	1_2_2_3_4_3	1_2_2_2_1_1	1_1_2_1_3_2	1_1_1_3_2_4	1_1_2_2_1_5	1_1_1_1_3_1	1_1_1_1_4_1	1_1_2_1_2_4
1_2_1_2_1_4	1_1_2_1_3_3	1_1_2_1_1_1	1_1_1_1_2_1	1_2_1_2_1_1	1_2_2_3_2_3	1_2_2_1_3_5	1_1_1_1_2_5	1_2_2_3_4_2	1_2_2_3_2_1
1_1_1_1_3_5	1_1_1_1_2_2	1_2_1_2_1_3	1_1_2_1_1_2	1_1_1_1_5_3	1_1_2_1_4_1	1_1_1_3_2_3	1_1_1_2	1_2_1_1	1_2_2_3_4_1
1_1_1_1_3_2	1_2_2_3_2_2	1_2_1_2_1_5	1_2_2_1_1_2	1_1_2_2_2_1	1_2_1_2_2_1	1_1_2_1_3_5	1_1_1_3_2_1	1_2_2_2_4_1	1_1_2_1_2_1
1_1_1_1_4_3	1_1_1_1_5_2	1_2_2_1_3_1	1_1_2_2_2_2	1_1_2_2_3_1	1_1_1_3_1	1_2_2_3_5_2	1_2_2_2_3_3	1_2_2_1_2	1_2_2_3_1_2
1_1_2_2_3_3	1_1_2_1_3_6	1_1_2_1_3_4	1_1_2_2_1_3	1_2_2_3_3_1	1_2_2_3_1_1	1_1_2_2_1_2	1_2_2_2_4_2	1_1_2_1_3_1	1_2_2_1_1_3
1_2_2_2_1_2	1_2_2_3_5_3	1_2_2_3_2_4	1_1_1_1_5_1	1_1_2_1_3_8	1_1_2_1_2_2	1_2_2_3_3_3	1_1_1_3_2_2	1_1_1_1_4_2	1_1_1_1_1_2
